,Experience Level,Employment Type,Job Title,Salary,Remote?,Is rich?
0,SE,FT,Data Scientist,85847,2,0
1,MI,CT,Machine Learning Engineer,30000,2,0
2,MI,CT,Machine Learning Engineer,25500,2,0
3,SE,FT,Data Scientist,90700,0,0
4,SE,FT,Data Engineer,90700,0,0
5,SE,FT,Data Scientist,90000,0,0
6,SE,FT,Data Scientist,72000,0,0
7,SE,FT,Data Engineer,90700,0,0
8,MI,FT,Data Analyst,64500,0,0
9,EN,FT,Data Analyst,30000,2,0
10,MI,FT,Machine Learning Engineer,20984,1,0
11,SE,FT,Data Engineer,81500,0,0
12,MI,FT,Data Scientist,65062,0,0
13,MI,FT,Machine Learning Engineer,69751,2,0
14,MI,FT,Machine Learning Engineer,96578,2,0
15,SE,FT,Data Scientist,48289,0,0
16,SE,FT,Data Scientist,38631,0,0
17,SE,FT,Data Scientist,70000,0,0
18,SE,FT,Data Analyst,65000,0,0
19,SE,FT,Data Engineer,94300,0,0
20,EN,FT,Machine Learning Engineer,56536,2,0
21,MI,FT,Data Engineer,70000,2,0
22,EN,FT,Data Engineer,85000,0,0
23,EN,FT,Data Engineer,65000,0,0
24,SE,FT,Data Scientist,83270,2,0
25,EN,FT,Data Analyst,75000,0,0
26,EN,FT,Data Analyst,70000,0,0
27,SE,FT,Data Engineer,95000,2,0
28,SE,FT,Data Engineer,75000,2,0
29,MI,FT,Data Scientist,20670,2,0
30,MI,FT,Data Analyst,46178,0,0
31,MI,FT,Data Analyst,42533,0,0
32,SE,FT,Data Analyst,54685,2,0
33,SE,FT,Data Analyst,42533,2,0
34,MI,FT,Data Scientist,66837,0,0
35,MI,FT,Data Scientist,54685,0,0
36,EX,FT,Data Analyst,15000,0,0
37,MI,FT,Data Engineer,85066,2,0
38,MI,FT,Data Engineer,57723,2,0
39,EN,FT,Data Analyst,85000,2,1
40,EN,FT,Data Analyst,75000,2,0
41,SE,FT,Data Engineer,53654,1,0
42,SE,FT,Data Analyst,75000,2,0
43,EN,FT,Data Engineer,17022,2,0
44,SE,FT,Data Scientist,68318,2,0
45,MI,FT,Machine Learning Engineer,75020,0,0
46,SE,FT,Data Analyst,80000,0,0
47,SE,FT,Data Scientist,88256,2,0
48,SE,FT,Data Analyst,80000,0,0
49,SE,FT,Data Analyst,70000,0,0
50,SE,FT,Data Engineer,86000,2,0
51,EN,FT,Data Analyst,40663,0,0
52,SE,FL,Data Scientist,50000,1,0
53,EN,FT,Data Scientist,51753,2,0
54,EN,FT,Data Scientist,71907,2,0
55,MI,FT,Data Scientist,93918,2,0
56,MI,FT,Data Scientist,51962,2,0
57,MI,FT,Data Engineer,48289,2,0
58,MI,FT,Data Analyst,90000,0,0
59,MI,FT,Data Analyst,75000,0,0
60,MI,FT,Data Analyst,80000,0,0
61,MI,FT,Data Analyst,68000,0,0
62,EN,FT,Data Engineer,60000,2,0
63,MI,FT,Data Engineer,90000,0,0
64,SE,FT,Data Analyst,90000,2,0
65,SE,FT,Data Engineer,75000,0,0
66,EN,FT,Data Analyst,64200,2,0
67,EN,FT,Data Analyst,56100,2,0
68,SE,FT,Machine Learning Engineer,95000,2,0
69,MI,FT,Data Analyst,72914,0,0
70,MI,FT,Data Analyst,54685,0,0
71,EN,FT,Data Engineer,92700,2,0
72,EN,FT,Data Engineer,61800,2,0
73,MI,FT,Data Engineer,75000,0,0
74,EN,FT,Data Engineer,59888,2,0
75,SE,FT,Data Analyst,80000,2,0
76,EN,FT,Data Analyst,21461,0,0
77,SE,FT,Machine Learning Engineer,60000,0,0
78,MI,FT,Machine Learning Engineer,90000,0,0
79,SE,FT,Data Analyst,95000,2,0
80,MI,FT,Data Scientist,96578,0,0
81,MI,FT,Data Scientist,80481,0,0
